track,condition,experiment,round_quality,seq_quality,n_rounds,phase_idle_duration_mean_s,phase_download_duration_mean_s,phase_training_duration_mean_s,phase_upload_duration_mean_s,download_precision,download_recall,download_f1,training_precision,training_recall,training_f1,upload_precision,upload_recall,upload_f1,_n_classified,decision_lag_mean_ms
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/fedavg/exp1,0.9833333333333333,0.9833333333333333,300,104.64144213994344,0.3071228035425736,0.6989865577827066,1.0116158299526925,0.4425531914893617,0.3466666666666667,0.38878504672897196,0.35036496350364965,0.32,0.3344947735191638,0.0,0.0,0.0,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/fedavg/exp2,0.9966666666666667,0.9966666666666667,300,116.43226758639018,0.2808872389793396,0.7051578585306804,1.0444377001126608,0.6074766355140186,0.65,0.6280193236714976,0.3159509202453988,0.3433333333333333,0.329073482428115,0.0,0.0,0.0,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/fedavg/exp3,1.0,1.0,300,139.29023416837057,0.3035697038968404,0.7118762842814128,1.0908881004651387,0.5355731225296443,0.9033333333333333,0.6724565756823822,0.266839378238342,0.3433333333333333,0.30029154518950435,0.0,0.0,0.0,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/fedavg/exp4,0.9433333333333334,0.9433333333333334,300,95.32177678743999,0.43506714820861814,2.598328057130178,5.171821486949921,0.43217665615141954,0.45666666666666667,0.44408427876823336,0.36428571428571427,0.34,0.35172413793103446,0.0,0.0,0.0,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/fedavg/exp5,0.99,0.99,300,116.96131197611491,0.2976533031463623,0.746262276172638,1.1617902930577595,0.5734870317002881,0.6633333333333333,0.615146831530139,0.3064066852367688,0.36666666666666664,0.3338391502276176,0.0,0.0,0.0,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1,0.9866666666666667,0.9866666666666667,300,62.928800185521446,0.2424702516766296,0.6439602909279507,1.1578813675653974,0.7058823529411765,0.36,0.4768211920529801,0.416988416988417,0.36,0.38640429338103754,1.0,0.006666666666666667,0.013245033112582781,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2,0.9766666666666667,0.9766666666666667,300,18.89470108350118,0.2509561964500708,0.5656273229465039,1.0924391802338054,0.6230769230769231,0.5418060200668896,0.5796064400715564,0.38153846153846155,0.41333333333333333,0.3968,0.6666666666666666,0.08,0.14285714285714285,899,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp3,0.735,0.735,400,28.345831473668415,0.23964779119233828,0.6075838425674954,1.1236624468017269,0.6124401913875598,0.32,0.42036124794745483,0.3753943217665615,0.2975,0.3319386331938633,0.0,0.0,0.0,1200,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp4,0.9133333333333333,0.9133333333333333,300,24.56753969192505,0.24538262018421353,0.616504345164203,1.211120395052353,0.5485436893203883,0.37666666666666665,0.44664031620553357,0.29533678756476683,0.19,0.23123732251521298,1.0,0.03,0.05825242718446602,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp5,0.9866666666666667,0.9866666666666667,300,21.012007157007854,0.2533949163047765,0.6103648932083793,2.406192764390671,0.69375,0.37,0.4826086956521739,0.39622641509433965,0.35,0.37168141592920356,1.0,0.013333333333333334,0.02631578947368421,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/krum/exp1,1.0,1.0,300,158.6086528301239,0.24992023229599,0.8142347184816996,1.065315718650818,0.4935400516795866,0.6366666666666667,0.5560407569141194,0.2814814814814815,0.38,0.32340425531914896,0.0,0.0,0.0,900,
RNN,baseline,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/krum/exp2,0.9966666666666667,0.9966666666666667,300,177.85995880762735,0.2609647758801778,0.7603260707855225,0.9876029753684997,0.5966666666666667,0.5966666666666667,0.5966666666666667,0.3159509202453988,0.3433333333333333,0.329073482428115,0.0,0.0,0.0,900,
