bundle_id,condition,round,source,global_accuracy,global_macro_f1,global_loss,aggregation_duration_s,evaluation_duration_s,phase_duration_s,accuracy,f1_score,loss,fit_duration_s,train_duration_s
bundle_0007,flame_blind,32,server,0.4872751951136749,0.4443837142262907,1.3433866186954224,0.002634048461914,0.2599594593048095,0.2841231822967529,,,,,
bundle_0007,flame_blind,33,server,0.5310485239226331,0.4762506958595376,1.4294088186957208,0.0021924972534179,0.261244535446167,0.2855653762817383,,,,,
bundle_0007,flame_blind,34,server,0.5225653206650831,0.4645647242501702,1.605210041813742,0.0030887126922607,0.2534742355346679,0.2785778045654297,,,,,
bundle_0007,flame_blind,35,server,0.513742789277231,0.4692956962386911,1.3813212213169974,0.0025436878204345,0.2594854831695556,0.2832913398742676,,,,,
bundle_0007,flame_blind,36,server,0.502544960977265,0.4506864197268047,1.382554490808151,0.0030560493469238,0.2721948623657226,0.2970342636108398,,,,,
bundle_0007,flame_blind,37,server,0.5262979300984052,0.4731862303233674,1.5205766272051358,0.0024335384368896,0.2461309432983398,0.2699449062347412,,,,,
bundle_0007,flame_blind,38,server,0.5256192738378012,0.4700189037002098,1.6896814502292783,0.0062453746795654,0.2418944835662841,0.2699506282806396,,,,,
bundle_0007,flame_blind,39,server,0.5374957583983713,0.4872696971334069,1.334620796465089,0.0026302337646484,0.2613012790679931,0.2852556705474853,,,,,
bundle_0007,flame_blind,40,server,0.5507295554801493,0.4977539206044739,1.5776053390787703,0.0022618770599365,0.2874650955200195,0.3568286895751953,,,,,
bundle_0007,flame_blind,41,server,0.4730234136409908,0.4328248774691443,1.4644681570042095,0.0023059844970703,0.249326467514038,0.2738568782806396,,,,,
bundle_0007,flame_blind,42,server,0.5229046487953851,0.4860932142059651,1.335428805524388,0.0022697448730468,0.2570655345916748,0.2806181907653808,,,,,
bundle_0007,flame_blind,43,server,0.5432643366135053,0.49904862634547,1.4863200658533506,0.0044758319854736,0.2702207565307617,0.3070049285888672,,,,,
bundle_0007,flame_blind,44,server,0.5585341024770953,0.5183937603060685,1.4739754440261017,0.0025694370269775,0.2779779434204101,0.3015453815460205,,,,,
bundle_0007,flame_blind,45,server,0.5575161180861894,0.5201509021492093,1.4020130790448972,0.0035088062286376,0.2532391548156738,0.2784395217895508,,,,,
bundle_0007,flame_blind,46,server,0.5283338988802172,0.4919036516328575,1.4581512668636802,0.0021870136260986,0.2580163478851318,0.291255235671997,,,,,
bundle_0007,flame_blind,47,server,0.5724465558194775,0.5429592878161031,1.3520642692532263,0.0023729801177978,0.3131217956542969,0.3380889892578125,,,,,
bundle_0007,flame_blind,48,server,0.5453003053953173,0.5177155627022786,1.415509837823356,0.0041353702545166,0.2559447288513183,0.2810621261596679,,,,,
bundle_0007,flame_blind,49,server,0.5639633525619274,0.5313396511992747,1.2864551887214488,0.0035321712493896,0.2469472885131836,0.272186279296875,,,,,
bundle_0007,flame_blind,50,server,0.5646420088225313,0.5325839825862307,1.610443371532325,0.0022249221801757,0.2824783325195312,0.3060526847839355,,,,,
