component_run_id,experiment_id,run_id,file_timestamp,condition,defense,attack,raw_attack,model,dataset,repetition
analyzer:time_20260717_151734,exp_1784315856,,20260717_151734,exp5,,,,,,
server:time_20260717_140452,exp_1784315092,run_1784315092,20260717_140452,median_blind,median,,,,,
analyzer:time_20260717_150543,exp_1784315145,,20260717_150543,exp4,,,,,,
server:time_20260717_163622,exp_1784324182,run_1784324182,20260717_163622,fedavg_blind,fedavg,,,,,
server:time_20260717_164540,exp_1784324740,run_1784324740,20260717_164540,fedavg_blind,fedavg,,,,,
server:time_20260717_165519,exp_1784325319,run_1784325319,20260717_165519,fedavg_blind,fedavg,,,,,
server:time_20260717_172613,exp_1784327173,run_1784327173,20260717_172613,fedavg_blind,fedavg,,,,,
server:time_20260717_170505,exp_1784325905,run_1784325905,20260717_170505,fedavg_blind,fedavg,,,,,
analyzer:time_20260717_113643,exp_1784302606,,20260717_113643,exp1,,,,,,
server:time_20260717_103810,exp_1784302690,run_1784302690,20260717_103810,flame_blind,flame,,,,,
analyzer:time_20260717_115012,exp_1784303415,,20260717_115012,exp2,,,,,,
server:time_20260717_104809,exp_1784303289,run_1784303289,20260717_104809,flame_blind,flame,,,,,
server:time_20260717_110941,exp_1784304581,run_1784304581,20260717_110941,flame_blind,flame,,,,,
analyzer:time_20260717_120953,exp_1784304595,,20260717_120953,exp3,,,,,,
analyzer:time_20260717_125540,exp_1784307342,,20260717_125540,exp5,,,,,,
server:time_20260717_115251,exp_1784307171,run_1784307171,20260717_115251,flame_blind,flame,,,,,
server:time_20260717_113525,exp_1784306125,run_1784306125,20260717_113525,flame_blind,flame,,,,,
analyzer:time_20260717_123819,exp_1784306301,,20260717_123819,exp4,,,,,,
server:time_20260717_153844,exp_1784320724,run_1784320724,20260717_153844,krum_blind,krum,,,,,
analyzer:time_20260717_163756,exp_1784320677,,20260717_163756,exp1,,,,,,
analyzer:time_20260717_164903,exp_1784321344,,20260717_164903,exp2,,,,,,
server:time_20260717_155015,exp_1784321415,run_1784321415,20260717_155015,krum_blind,krum,,,,,
server:time_20260717_160206,exp_1784322126,run_1784322126,20260717_160206,krum_blind,krum,,,,,
analyzer:time_20260717_170217,exp_1784322143,,20260717_170217,exp3,,,,,,
analyzer:time_20260717_172457,exp_1784323499,,20260717_172457,exp5,,,,,,
server:time_20260717_162541,exp_1784323541,run_1784323541,20260717_162541,krum_blind,krum,,,,,
analyzer:time_20260717_171446,exp_1784322888,,20260717_171446,exp4,,,,,,
server:time_20260717_161318,exp_1784322798,run_1784322798,20260717_161318,krum_blind,krum,,,,,
analyzer:time_20260717_131902,exp_1784308748,,20260717_131902,exp1,,,,,,
analyzer:time_20260717_132809,exp_1784309291,,20260717_132809,exp2,,,,,,
analyzer:time_20260717_134751,exp_1784310473,,20260717_134751,exp3,,,,,,
analyzer:time_20260717_141218,exp_1784311940,,20260717_141218,exp5,,,,,,
analyzer:time_20260717_140041,exp_1784311242,,20260717_140041,exp4,,,,,,
analyzer:time_20260721_200417,exp_1784678660,,20260721_200417,exp1,,,,,,
proxy:time_20260721_200516,exp_1784678456,run_1784678456,20260721_200516,exp1,multi_krum,envelope,min_max,,,
analyzer:time_20260721_201931,exp_1784679575,,20260721_201931,exp1,,,,,,
proxy:time_20260721_202028,exp_1784679524,run_1784679524,20260721_202028,exp1,multi_krum,envelope,min_sum,,,
analyzer:time_20260719_162112,exp_1784492481,,20260719_162112,exp1,,,,,,
proxy:time_20260719_162358,exp_1784492511,run_1784492511,20260719_162358,exp1,multi_krum,envelope,sign_flip,,,
analyzer:time_20260721_203302,exp_1784680389,,20260721_203302,exp1,,,,,,
proxy:time_20260721_203355,exp_1784680361,run_1784680361,20260721_203355,exp1,multi_krum,envelope,krum_optimal,,,
proxy:time_20260719_164012,exp_1784493342,run_1784493342,20260719_164012,exp1,multi_krum,envelope,scale,,,
analyzer:time_20260719_163503,exp_1784493308,,20260719_163503,exp1,,,,,,
proxy:time_20260719_165945,exp_1784494575,run_1784494575,20260719_165945,exp1,flame,noise,sign_flip,,,
analyzer:time_20260719_165702,exp_1784494627,,20260719_165702,exp1,,,,,,
proxy:time_20260723_200240,exp_1784851252,run_1784851252,20260723_200240,exp1,fedavg,envelope,min_max,,,
analyzer:time_20260723_200145,exp_1784851310,,20260723_200145,exp1,,,,,,
proxy:time_20260721_190255,exp_1784674892,run_1784674892,20260721_190255,exp1,fedavg,envelope,min_sum,,,
analyzer:time_20260721_190202,exp_1784674928,,20260721_190202,exp1,,,,,,
analyzer:time_20260718_123941,exp_1784392786,,20260718_123941,exp1,,,,,,
proxy:time_20260718_124515,,run_1784392708,20260718_124515,exp1,fedavg,envelope,sign_flip,,,
analyzer:time_20260718_131353,exp_1784394841,,20260718_131353,exp1,,,,,,
proxy:time_20260718_132345,exp_1784394210,run_1784394210,20260718_132345,exp1,fedavg,envelope,scale,,,
analyzer:time_20260718_140741,exp_1784398066,,20260718_140741,exp1,,,,,,
proxy:time_20260718_141125,exp_1784398211,run_178498211,20260718_141125,exp1,fedavg,envelope,noise,,,
analyzer:time_20260721_171831,exp_1784668717,,20260721_171831,exp1,,,,,,
proxy:time_20260721_171935,exp_1784668683,run_1784668683,20260721_171935,exp1,median,envelope,min_max,,,
analyzer:time_20260721_173009,exp_1784669418,,20260721_173009,exp1,,,,,,
proxy:time_20260721_173153,exp_1784669398,run_1784669398,20260721_173153,exp1,median,envelope,min_sum,,,
analyzer:time_20260721_154842,exp_1784663325,,20260721_154842,exp1,,,,,,
proxy:time_20260721_155241,exp_1784663498,run_1784663498,20260721_155241,exp1,median,envelope,sign_flip,,,
analyzer:time_20260721_161652,exp_1784665015,,20260721_161652,exp1,,,,,,
proxy:time_20260721_161818,exp_17884664942,run_17884664942,20260721_161818,exp1,median,envelope,scale,,,
proxy:time_20260721_163221,exp_1784665673,run_1784665673,20260721_163221,exp1,flame,envelope,noise,,,
analyzer:time_20260721_163132,exp_1784665896,,20260721_163132,exp1,,,,,,
analyzer:time_20260721_145139,exp_1784659902,,20260721_145139,exp1,,,,,,
proxy:time_20260721_145216,exp_1784659861,run_1784659861,20260721_145216,exp1,flame,envelope,min_max,,,
analyzer:time_20260721_150530,exp_1784660734,,20260721_150530,exp1,,,,,,
proxy:time_20260721_150617,exp_178466034,run_178466034,20260721_150617,exp1,,,,,,
proxy:time_20260721_141508,exp_1784657615,run_1784657615,20260721_141508,exp1,flame,envelope,sign_flip,,,
analyzer:time_20260721_141423,exp_1784657666,,20260721_141423,exp1,,,,,,
proxy:time_20260721_143135,exp_1784658620,run_1784658620,20260721_143135,exp1,flame,envelope,scale,,,
analyzer:time_20260721_142201,exp_1784658662,,20260721_142201,exp1,,,,,,
proxy:time_20260721_143943,exp_174659101,run_1784659101,20260721_143943,exp1,flame,envelope,noise,,,
analyzer:time_20260721_143859,exp_1784659143,,20260721_143859,exp1,,,,,,
analyzer:time_20260721_191334,exp_1784675616,,20260721_191334,exp1,,,,,,
proxy:time_20260721_191430,exp_1784675537,run_1784675537,20260721_191430,exp1,krum,envelope,min_max,,,
analyzer:time_20260723_203641,exp_1784853403,,20260723_203641,exp1,,,,,,
proxy:time_20260723_203749,exp_1784853257,run_1784853257,20260723_203749,exp1,krum,envelope,min_sum,,,
proxy:time_20260721_195001,exp_1784677584,run_1784677584,20260721_195001,exp1,krum,envelope,sign_flip,,,
analyzer:time_20260721_194805,exp_1784677688,,20260721_194805,exp1,,,,,,
analyzer:time_20260719_135924,exp_1784483967,,20260719_135924,exp2,,,,,,
proxy:time_20260719_140154,exp_1784484053,run_1784484053,20260719_140154,exp2,krum,envelope,sign_flip,,,
proxy:time_20260721_193920,exp_1784677037,run_1784677037,20260721_193920,exp1,krum,envelope,krum_optimal,,,
analyzer:time_20260721_193754,exp_1784677077,,20260721_193754,exp1,,,,,,
proxy:time_20260719_141814,exp_1784484794,run_1784484794,20260719_141814,exp1,krum,envelope,scale,,,
analyzer:time_20260719_141458,exp_1784484900,,20260719_141458,exp1,,,,,,
analyzer:time_20260719_143350,exp_1784486035,,20260719_143350,exp1,,,,,,
proxy:time_20260719_143448,exp_1784485719,run_1784485719,20260719_143448,exp1,krum,envelope,noise,,,
proxy:time_20260721_183504,exp_1784672967,run_1784672967,20260721_183504,exp1,trimmed_mean,envelope,min_max,,,
analyzer:time_20260721_183351,exp_1784673238,,20260721_183351,exp1,,,,,,
proxy:time_20260721_184837,exp_1784673892,run_1784673892,20260721_184837,exp1,trimmed_mean,envelope,min_sum,,,
analyzer:time_20260721_184657,exp_1784674021,,20260721_184657,exp1,,,,,,
analyzer:time_20260721_174900,exp_1784670545,,20260721_174900,exp1,,,,,,
proxy:time_20260721_175335,exp_1784670743,run_1784670743,20260721_175335,exp1,trimmed_mean,envelope,sign_flip,,,
analyzer:time_20260721_180633,exp_1784671598,,20260721_180633,exp1,,,,,,
proxy:time_20260721_180724,exp_1784671518,run_1784671518,20260721_180724,exp1,trimmed_mean,envelope,scale,,,
analyzer:time_20260721_181706,exp_1784672229,,20260721_181706,exp1,,,,,,
proxy:time_20260721_181744,exp_1784672136,run_1784672135,20260721_181744,exp1,trimmed_mean,envelope,noise,,,
server:time_20260721_200056,exp_1784678456,run_1784678456,20260721_200056,multi_krum_blind,multi_krum,,,,,
server:time_20260721_201844,exp_1784679524,run_1784679524,20260721_201844,multi_krum_blind,multi_krum,,,,,
server:time_20260719_162151,exp_1784492511,run_1784492511,20260719_162151,multi_krum_blind,multi_krum,,,,,
server:time_20260721_203241,exp_1784680361,run_1784680361,20260721_203241,multi_krum_blind,multi_krum,,,,,
server:time_20260719_163542,exp_1784493342,run_1784493342,20260719_163542,multi_krum_blind,multi_krum,,,,,
server:time_20260719_165615,exp_1784494575,run_1784494575,20260719_165615,multi_krum_blind,multi_krum,,,,,
server:time_20260721_190132,exp_1784674892,run_1784674892,20260721_190132,fedavg_blind,fedavg,,,,,
server:time_20260718_113828,exp_1784392708,run_1784392708,20260718_113828,fedavg_blind,fedavg,,,,,
server:time_20260718_120330,exp_1784394210,run_1784394210,20260718_120330,fedavg_blind,fedavg,,,,,
server:time_20260718_131011,exp_1784398211,run_1784398211,20260718_131011,fedavg_blind,fedavg,,,,,
server:time_20260721_171803,exp_1784668683,run_1784668683,20260721_171803,median_blind,median,,,,,
server:time_20260721_172958,exp_1784669398,run_1784669398,20260721_172958,median_blind,median,,,,,
server:time_20260721_155138,exp_1784663498,run_1784663498,20260721_155138,median_blind,median,,,,,
server:time_20260721_161542,exp_1784664942,run_1784664942,20260721_161542,median_blind,median,,,,,
server:time_20260721_162753,exp_1784665673,run_1784665673,20260721_162753,median_blind,median,,,,,
server:time_20260721_145101,exp_1784659861,run_1784659861,20260721_145101,flame_blind,flame,,,,,
server:time_20260721_150354,exp_1784660634,run_1784660634,20260721_150354,flame_blind,flame,,,,,
